idx1,idx2,Lat,Lon,Label,Name
1,2,38.05,45.4,14,other_sea
2,2,38.37,45.0,15,other_land
3,2,38.69,44.59,15,other_land
4,2,39.01,44.18,15,other_land
5,2,39.33,43.76,15,other_land
6,2,39.64,43.33,15,other_land
7,2,39.95,42.9,15,other_land
8,2,40.26,42.46,15,other_land
9,2,40.57,42.01,15,other_land
10,2,40.88,41.56,15,other_land
11,2,41.18,41.1,15,other_land
12,2,41.49,40.64,14,other_sea
13,2,41.79,40.17,14,other_sea
14,2,42.08,39.69,14,other_sea
15,2,42.38,39.21,14,other_sea
16,2,42.67,38.72,14,other_sea
17,2,42.97,38.22,14,other_sea
18,2,43.25,37.72,14,other_sea
19,2,43.54,37.2,14,other_sea
20,2,43.82,36.69,14,other_sea
21,2,44.1,36.16,14,other_sea
22,2,44.38,35.63,14,other_sea
23,2,44.65,35.09,14,other_sea
24,2,44.93,34.54,15,other_land
25,2,45.19,33.99,15,other_land
26,2,45.46,33.42,15,other_land
27,2,45.72,32.85,14,other_sea
28,2,45.98,32.28,14,other_sea
29,2,46.23,31.69,14,other_sea
30,2,46.48,31.1,14,other_sea
31,2,46.73,30.5,15,other_land
32,2,46.97,29.9,15,other_land
33,2,47.21,29.28,15,other_land
34,2,47.44,28.66,15,other_land
35,2,47.67,28.03,15,other_land
36,2,47.89,27.4,15,other_land
37,2,48.11,26.75,15,other_land
38,2,48.33,26.1,15,other_land
39,2,48.54,25.44,15,other_land
40,2,48.75,24.78,15,other_land
41,2,48.95,24.11,15,other_land
42,2,49.15,23.43,15,other_land
43,2,49.34,22.74,15,other_land
44,2,49.53,22.05,15,other_land
45,2,49.71,21.35,15,other_land
46,2,49.88,20.64,15,other_land
47,2,50.05,19.92,15,other_land
48,2,50.22,19.2,15,other_land
49,2,50.38,18.48,15,other_land
50,2,50.53,17.74,15,other_land
51,2,50.68,17.0,15,other_land
52,2,50.82,16.26,15,other_land
53,2,50.95,15.51,15,other_land
54,2,51.08,14.75,15,other_land
55,2,51.21,13.99,15,other_land
56,2,51.32,13.22,15,other_land
57,2,51.43,12.45,15,other_land
58,2,51.54,11.67,15,other_land
59,2,51.63,10.89,15,other_land
